Date,Place,Opp,Result,TmScore,OppScore,FG,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FGOpp,FGAOpp,FG%Opp,3POpp,3PAOpp,3P%Opp,FTOpp,FTAOpp,FT%Opp,ORBOpp,TRBOpp,ASTOpp,STLOpp,BLKOpp,TOVOpp,PFOpp,Team
2021-01-16,0,Alabama,L,59,90,21,63,0.333,4,17,0.235,13,18,0.722,8,31,8,9,5,18,15,31,64,0.484,15,36,0.417,13,17,0.765,5,35,18,12,4,14,16,arkansas
2021-01-20,1,Auburn,W,75,73,30,65,0.462,4,15,0.267,11,15,0.733,10,32,16,8,5,15,20,25,58,0.431,7,23,0.304,16,24,0.667,11,33,10,7,9,16,18,arkansas
2021-01-23,0,Vanderbilt,W,92,71,36,63,0.571,8,19,0.421,12,19,0.632,11,37,22,9,5,11,15,26,58,0.448,6,22,0.273,13,19,0.684,8,27,11,9,2,16,15,arkansas
2021-01-27,1,Ole Miss,W,74,59,26,54,0.481,7,17,0.412,15,21,0.714,7,30,12,6,6,12,16,25,57,0.439,1,16,0.063,8,12,0.667,7,25,9,8,6,9,19,arkansas
2021-01-30,0,Oklahoma State,L,77,81,34,70,0.486,5,15,0.333,4,7,0.571,11,30,13,8,5,15,14,31,61,0.508,7,20,0.35,12,15,0.8,10,36,14,10,7,19,14,arkansas
2021-02-02,1,Mississippi State,W,61,45,23,64,0.359,2,17,0.118,13,14,0.929,12,40,13,10,6,17,15,15,49,0.306,5,19,0.263,10,18,0.556,6,28,10,9,4,25,18,arkansas
2021-02-09,0,Kentucky,W,81,80,27,62,0.435,9,24,0.375,18,23,0.783,5,33,12,8,3,5,19,25,61,0.41,14,26,0.538,16,25,0.64,10,38,18,1,2,11,18,arkansas
2021-02-13,0,Missouri,W,86,81,29,62,0.468,8,21,0.381,20,23,0.87,6,31,18,6,6,13,21,27,61,0.443,13,32,0.406,14,21,0.667,9,36,15,6,3,15,20,arkansas
2021-02-16,1,Florida,W,75,64,28,63,0.444,4,15,0.267,15,19,0.789,11,34,13,10,5,13,13,23,61,0.377,4,21,0.19,14,14,1,8,32,6,9,6,16,19,arkansas
2021-02-24,1,Alabama,W,81,66,25,54,0.463,4,14,0.286,27,43,0.628,9,37,15,4,11,12,18,26,69,0.377,11,33,0.333,3,8,0.375,11,35,14,4,3,16,32,arkansas
2021-02-27,1,LSU,W,83,75,27,62,0.435,6,20,0.3,23,31,0.742,8,42,17,7,6,8,15,30,76,0.395,9,28,0.321,6,12,0.5,10,37,13,2,4,8,22,arkansas
2021-03-02,0,South Carolina,W,101,73,37,67,0.552,15,33,0.455,12,13,0.923,4,37,17,10,4,15,18,27,72,0.375,6,23,0.261,13,23,0.565,11,36,13,9,2,14,14,arkansas
2021-03-06,1,Texas A&M,W,87,80,31,61,0.508,9,24,0.375,16,20,0.8,9,28,14,8,2,11,13,31,61,0.508,10,23,0.435,8,10,0.8,9,29,14,7,4,17,19,arkansas
2021-03-12,2,Missouri,W,70,64,25,55,0.455,5,15,0.333,15,22,0.682,7,31,13,5,5,20,20,22,52,0.423,6,18,0.333,14,21,0.667,5,28,11,9,3,21,25,arkansas
2021-03-13,2,LSU,L,71,78,27,65,0.415,6,26,0.231,11,19,0.579,15,40,16,9,6,16,16,28,66,0.424,9,19,0.474,13,15,0.867,10,35,8,10,2,14,14,arkansas
2021-03-19,2,Colgate,W,85,68,29,64,0.453,5,16,0.313,22,29,0.759,9,34,11,13,4,10,15,23,58,0.397,12,27,0.444,10,17,0.588,8,36,17,5,2,22,24,arkansas
2021-03-21,2,Texas Tech,W,68,66,26,62,0.419,4,17,0.235,12,17,0.706,9,35,10,0,1,9,16,22,61,0.361,10,20,0.5,12,18,0.667,11,33,12,3,3,9,19,arkansas
2021-03-27,2,Oral Roberts,W,72,70,29,77,0.377,1,9,0.111,13,15,0.867,16,44,13,7,3,10,17,26,61,0.426,8,31,0.258,10,13,0.769,5,32,16,3,4,13,14,arkansas
